antecedent,consequent,support,confidence,interest
cake,mineral water,0.027463004932675644,0.33881578947368424,0.10044757190269371
spaghetti|mineral water,chocolate,0.01586455139314758,0.265625,0.1017801793094254
cooking oil,chocolate,0.013598186908412212,0.26631853785900783,0.10247371716843323
ground beef|mineral water,chocolate,0.010931875749900012,0.2671009771986971,0.10325615650812248
spaghetti,mineral water,0.05972536995067324,0.3430321592649311,0.10466394169394055
spaghetti|mineral water,frozen vegetables,0.011998400213304892,0.20089285714285715,0.10557223322604606
whole wheat rice,mineral water,0.020130649246767097,0.3439635535307517,0.10559533595976117
herb & pepper,mineral water,0.017064391414478068,0.3450134770889488,0.10664525951795828
soup,spaghetti,0.014264764698040262,0.28232189973614774,0.10821178108530119
avocado,mineral water,0.011598453539528063,0.348,0.10963178242900945
chicken,spaghetti,0.01719770697240368,0.2866666666666667,0.11255654801582013
olive oil,ground beef,0.014131449140114652,0.2145748987854251,0.11632133259425059
pancakes,mineral water,0.03372883615517931,0.3548387096774194,0.11647049210642885
shrimp,milk,0.01759765364618051,0.2462686567164179,0.11668593441272507
chicken,milk,0.014798026929742702,0.24666666666666667,0.11708394436297384
frozen vegetables,milk,0.023596853752832957,0.24755244755244754,0.11796972524875471
grated cheese,ground beef,0.011331822423676844,0.21628498727735368,0.11803142108617917
frozen vegetables,spaghetti,0.027862951606452472,0.2923076923076923,0.11819757365684577
tomatoes,mineral water,0.024396747100386616,0.3567251461988304,0.11835692862783986
shrimp,spaghetti,0.021197173710171976,0.2966417910447761,0.12253167239392956
spaghetti,ground beef,0.03919477403012932,0.225114854517611,0.1268612883264365
milk|mineral water,chocolate,0.013998133582189041,0.2916666666666667,0.12782184597609209
olive oil,milk,0.017064391414478068,0.2591093117408907,0.12952658943719786
turkey,eggs,0.01946407145713905,0.31130063965884863,0.13159126757512646
tomatoes,spaghetti,0.020930542594320756,0.3060428849902534,0.13193276633940684
milk,mineral water,0.04799360085321957,0.37037037037037035,0.13200215279937982
milk|mineral water,ground beef,0.011065191307825623,0.23055555555555557,0.13230198936438106
spaghetti|mineral water,milk,0.01573123583522197,0.26339285714285715,0.13381013483916432
milk|mineral water,frozen vegetables,0.011065191307825623,0.23055555555555557,0.13523493163874448
frozen vegetables,mineral water,0.03572856952406346,0.3748251748251748,0.13645695725418427
cooking oil,spaghetti,0.01586455139314758,0.31070496083550914,0.13659484218466258
shrimp,frozen vegetables,0.01666444474070124,0.2332089552238806,0.1378883313070695
tomatoes,frozen vegetables,0.0161311825089988,0.23586744639376217,0.14054682247695108
ground beef|mineral water,milk,0.011065191307825623,0.2703583061889251,0.14077558388523226
grated cheese,spaghetti,0.01653112918277563,0.3155216284987277,0.14141150984788117
chicken,mineral water,0.022796960405279298,0.38,0.14163178242900948
salmon,spaghetti,0.013464871350486601,0.3166144200626959,0.14250430141184936
red wine,mineral water,0.010931875749900012,0.3886255924170616,0.1502573748460711
burgers,eggs,0.02879616051193174,0.3302752293577982,0.150565857274076
milk|mineral water,spaghetti,0.01573123583522197,0.3277777777777778,0.15366765912693123
herb & pepper,spaghetti,0.01626449806692441,0.3288409703504043,0.15473085169955778
cooking oil,mineral water,0.020130649246767097,0.39425587467362927,0.15588765710263874
cereals,mineral water,0.010265297960271964,0.39896373056994816,0.16059551299895763
frozen vegetables|mineral water,spaghetti,0.011998400213304892,0.3358208955223881,0.16171077687154153
salmon,mineral water,0.017064391414478068,0.4012539184952978,0.16288570092430726
pancakes|mineral water,spaghetti,0.011465137981602452,0.33992094861660077,0.16581082996575422
soup,milk,0.015197973603519531,0.3007915567282322,0.17120883442453938
olive oil,spaghetti,0.022930275963204905,0.3481781376518219,0.17406801900097532
ground beef,mineral water,0.040927876283162246,0.41655359565807326,0.17818537808708274
frozen vegetables|mineral water,milk,0.011065191307825623,0.30970149253731344,0.1801187702336206
olive oil,mineral water,0.027596320490601255,0.4190283400809717,0.18066012250998115
spaghetti|mineral water,ground beef,0.017064391414478068,0.2857142857142857,0.1874607195231112
red wine,spaghetti,0.010265297960271964,0.36492890995260663,0.19081879130176008
frozen vegetables|spaghetti,mineral water,0.011998400213304892,0.430622009569378,0.1922537919983875
spaghetti|ground beef,mineral water,0.017064391414478068,0.43537414965986393,0.1970059320888734
ground beef|spaghetti,mineral water,0.017064391414478068,0.43537414965986393,0.1970059320888734
olive oil|mineral water,spaghetti,0.010265297960271964,0.3719806763285024,0.19787055767765585
olive oil|spaghetti,mineral water,0.010265297960271964,0.4476744186046512,0.20930620103366065
soup,mineral water,0.023063591521130515,0.45646437994722955,0.21809616237623902
ground beef,spaghetti,0.03919477403012932,0.3989145183175034,0.22480439966665686
herb & pepper,ground beef,0.015997866951073192,0.32345013477088946,0.22519656857971496
frozen vegetables|milk,mineral water,0.011065191307825623,0.4689265536723164,0.23055833610132587
ground beef|mineral water,spaghetti,0.017064391414478068,0.4169381107491857,0.24282799209833913
